isin,fund_name,category,source,sheet_fund_name
INF109KC1RH9,ICICI Prudential India Opportunities Fund,Indian Equity,equity,ICICI Oppurtunity
INF200K01RJ1,SBI Focused Equity Fund,Indian Equity,equity,SBI Focused
INF109K01X40,ICICI Prudential Thematic Advantage Fund,Indian Equity,equity,ICICI Agressive Hybrid
INF247L01CW5,Motilal Oswal Nifty India Defence Index Fund,Indian Equity,equity,Motilal Oswal Defence
INF740K01QA7,DSP Natural Resources and New Energy Fund,Indian Equity,equity,DSP Natural Resources and New Energy
INF00XX01747,ITI Small Cap Fund,Indian Equity,equity,ITI Small Cap
INF194KB1AL4,Bandhan Small Cap Fund,Indian Equity,equity,Bandhan SmallCap
INF205K013T3,Invesco India Smallcap Fund,Indian Equity,equity,Invesco Small Cap
INF966L01580,Quant Multi Asset Allocation Fund,Indian Equity,equity,Quant Multi Asset
INF846K01X06,Axis Global Equity Alpha Fund,Foreign Equity,equity,Axis Global Equity
INF846K01Y39,Axis Greater China Equity Fund of Fund,Foreign Equity,equity,Axis Greater China
INF090I01JR0,Franklin India Feeder - Franklin US Opportunities Fund,Foreign Equity,equity,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct Growth
INF090I01IZ5,Franklin Asian Equity Fund,Foreign Equity,equity,Franklin Asian Equity Fund - Direct Growth
INF754K01LB7,Edelweiss US Technology Fund (name unconfirmed - check trade master),Foreign Equity,equity,Edelweiss US Technology Equity Fund of Fund - Direct Plan - Growth
INF174K01MP6,Kotak Gold Fund,Gold,gold,Kotak Gold Fund
INF109K01U92,ICICI Prudential Regular Gold Savings Fund FOF,Gold,gold,ICICI Prudential Gold ETF FOF
INF846K01DI3,Axis Dynamic Bond Fund,Debt,debt,Axis Dynamic Bond
INF277K017Q3,Tata Arbitrage Fund,Cash Fund,debt,Tata Arbitrage
INF174K01NE8,Kotak Liquid Fund,Cash Fund,cash,Kotak Liquid Fund
